Variable,Month,Baseline,Model,RMSE_model,RMSE_baseline,Skill,R2,CI_low,CI_high,DM_stat,DM_p
TEMP,8,Baseline,Ridge,12.185263153485556,37.541922626700334,0.6754225063364435,0.6740186444181289,0.6053469269545675,0.7438940352373903,-7.714638758696841,4.0949008006663234e-07
TEMP,8,Baseline,RF,12.976677626787543,37.541922626700334,0.6543416874031286,0.6528466467694529,,,,
TEMP,8,Baseline,HGB,13.018638990686082,37.541922626700334,0.6532239672395721,0.6517240922449085,,,,
TEMP,8,DeptClim,Ridge,12.185263153485556,15.232086355501066,0.20002664972518036,0.6740186444181289,0.02578099761441105,0.33018836296427373,-1.652296428703139,0.11581045892047759
TEMP,8,DeptClim,RF,12.976677626787543,15.232086355501066,0.14806958653428204,0.6528466467694529,,,,
TEMP,8,DeptClim,HGB,13.018638990686082,15.232086355501066,0.14531478571979062,0.6517240922449085,,,,
TEMP,8,Persist,Ridge,12.185263153485556,4.5382055958140075,-1.6850399119698571,0.6740186444181289,-6.742249032809106,-0.6944959056651342,3.309322168631017,0.003900205552426872
TEMP,8,Persist,RF,12.976677626787543,4.5382055958140075,-1.8594292067237088,0.6528466467694529,,,,
TEMP,8,Persist,HGB,13.018638990686082,4.5382055958140075,-1.8686754524066376,0.6517240922449085,,,,
TEMP,9,Baseline,Ridge,12.132678233194946,37.889771582076186,0.6797901458204005,0.6783680583763605,0.6263699807689704,0.7351158844751292,-10.238657185588078,6.204889935190749e-09
TEMP,9,Baseline,RF,12.144427219692197,37.889771582076186,0.6794800624916637,0.6780565979332012,,,,
TEMP,9,Baseline,HGB,12.548761268908292,37.889771582076186,0.6688087379538465,0.6673378808606496,,,,
TEMP,9,DeptClim,Ridge,12.132678233194946,12.885691129828723,0.058437912956849414,0.6783680583763605,-0.18386431714995813,0.2335377957977161,-0.40994951552448494,0.6866808240530475
TEMP,9,DeptClim,RF,12.144427219692197,12.885691129828723,0.05752612744384311,0.6780565979332012,,,,
TEMP,9,DeptClim,HGB,12.548761268908292,12.885691129828723,0.026147597170048775,0.6673378808606496,,,,
TEMP,9,Persist,Ridge,12.132678233194946,4.202483851300595,-1.887025545485462,0.6783680583763605,-3.744454883870493,-1.1264879916766732,4.873873999903595,0.00012207302375033535
TEMP,9,Persist,RF,12.144427219692197,4.202483851300595,-1.889821269850617,0.6780565979332012,,,,
TEMP,9,Persist,HGB,12.548761268908292,4.202483851300595,-1.9860343817917752,0.6673378808606496,,,,
TEMP,10,Baseline,Ridge,11.205019230732212,36.58605999805961,0.6937352852062648,0.6925617543321372,0.6342409533595086,0.7607143902749015,-10.344851871921945,5.28701660229558e-09
TEMP,10,Baseline,RF,11.555758421942658,36.58605999805961,0.6841485958707898,0.6829383311668332,,,,
TEMP,10,Baseline,HGB,11.339629949079528,36.58605999805961,0.6900559953796352,0.6888683663740618,,,,
TEMP,10,DeptClim,Ridge,11.205019230732212,10.568414718432125,-0.06023651884040837,0.6925617543321372,-0.4366693668246656,0.19559051578520356,0.3186384134424463,0.7536683703293485
TEMP,10,DeptClim,RF,11.555758421942658,10.568414718432125,-0.09342401200328831,0.6829383311668332,,,,
TEMP,10,DeptClim,HGB,11.339629949079528,10.568414718432125,-0.07297359643753798,0.6888683663740618,,,,
TEMP,10,Persist,Ridge,11.205019230732212,3.3669267489481642,-2.327966441275471,0.6925617543321372,-5.0389056196569335,-1.2085848965530117,3.951083838166336,0.000936513673875039
TEMP,10,Persist,RF,11.555758421942658,3.3669267489481642,-2.4321383515553774,0.6829383311668332,,,,
TEMP,10,Persist,HGB,11.339629949079528,3.3669267489481642,-2.367946734398678,0.6888683663740618,,,,
